run,condition,n_tasks,memory_use_rate,task_success_rate,extraction_error_rate,update_error_rate,irrelevant_retrieval_rate,drift_rate,policy_override_failure_rate,privacy_leak_rate,poisoning_success_rate,unlearning_failure_rate
3,C4_Guarded_Experience,500,0.422,0.582,0.02843601895734597,0.009478672985781991,0.061611374407582936,0.058,0.016,0.002,0.0,0.004
4,C0_No_Memory,500,0.0,0.614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,C1_Storage,500,0.25,0.614,0.048,0.016,0.128,0.036,0.016,0.004,0.0,0.002
4,C2_Reflective,500,0.374,0.556,0.06417112299465241,0.10695187165775401,0.1497326203208556,0.046,0.036,0.02,0.002,0.004
4,C3_Experience,500,0.478,0.522,0.07531380753138076,0.12133891213389121,0.16317991631799164,0.118,0.062,0.038,0.0,0.008
4,C4_Guarded_Experience,500,0.442,0.576,0.00904977375565611,0.03619909502262444,0.03167420814479638,0.08,0.01,0.002,0.002,0.002
5,C0_No_Memory,500,0.0,0.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,C1_Storage,500,0.206,0.568,0.038834951456310676,0.02912621359223301,0.1262135922330097,0.028,0.022,0.0,0.002,0.0
5,C2_Reflective,500,0.366,0.584,0.04371584699453552,0.0546448087431694,0.14754098360655737,0.046,0.052,0.0,0.0,0.0
5,C3_Experience,500,0.426,0.508,0.09389671361502347,0.09859154929577464,0.13145539906103287,0.104,0.06,0.018,0.002,0.004
5,C4_Guarded_Experience,500,0.378,0.524,0.015873015873015872,0.021164021164021163,0.031746031746031744,0.08,0.01,0.0,0.0,0.0
6,C0_No_Memory,500,0.0,0.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,C1_Storage,500,0.232,0.574,0.04310344827586207,0.0,0.11206896551724138,0.044,0.034,0.002,0.002,0.002
6,C2_Reflective,500,0.362,0.53,0.06077348066298342,0.08287292817679558,0.14917127071823205,0.084,0.058,0.006,0.002,0.002
6,C3_Experience,500,0.464,0.514,0.10775862068965517,0.1336206896551724,0.1939655172413793,0.12,0.056,0.02,0.006,0.004
6,C4_Guarded_Experience,500,0.432,0.544,0.018518518518518517,0.027777777777777776,0.023148148148148147,0.068,0.02,0.0,0.0,0.0
7,C0_No_Memory,500,0.0,0.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,C1_Storage,500,0.24,0.584,0.058333333333333334,0.016666666666666666,0.125,0.04,0.03,0.0,0.0,0.0
7,C2_Reflective,500,0.342,0.514,0.05847953216374269,0.04093567251461988,0.11695906432748537,0.08,0.038,0.006,0.006,0.004
7,C3_Experience,500,0.436,0.528,0.06422018348623854,0.11009174311926606,0.1651376146788991,0.094,0.06,0.024,0.006,0.002
7,C4_Guarded_Experience,500,0.418,0.596,0.019138755980861243,0.023923444976076555,0.019138755980861243,0.082,0.01,0.002,0.002,0.0
8,C0_No_Memory,500,0.0,0.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,C1_Storage,500,0.236,0.57,0.025423728813559324,0.01694915254237288,0.09322033898305085,0.028,0.032,0.002,0.0,0.0
8,C2_Reflective,500,0.334,0.516,0.08383233532934131,0.05389221556886228,0.10778443113772455,0.07,0.04,0.012,0.004,0.0
8,C3_Experience,500,0.454,0.46,0.10572687224669604,0.1013215859030837,0.20704845814977973,0.13,0.064,0.036,0.004,0.006
8,C4_Guarded_Experience,500,0.418,0.574,0.03349282296650718,0.023923444976076555,0.06220095693779904,0.052,0.012,0.002,0.0,0.0
9,C0_No_Memory,500,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,C1_Storage,500,0.272,0.564,0.03676470588235294,0.029411764705882353,0.125,0.024,0.034,0.004,0.0,0.0
9,C2_Reflective,500,0.406,0.546,0.06403940886699508,0.06403940886699508,0.15763546798029557,0.08,0.064,0.022,0.0,0.002
9,C3_Experience,500,0.472,0.558,0.1059322033898305,0.1228813559322034,0.1864406779661017,0.112,0.062,0.02,0.008,0.002
9,C4_Guarded_Experience,500,0.44,0.57,0.013636363636363636,0.013636363636363636,0.01818181818181818,0.052,0.02,0.0,0.0,0.0
10,C0_No_Memory,500,0.0,0.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,C1_Storage,500,0.248,0.586,0.008064516129032258,0.03225806451612903,0.11290322580645161,0.044,0.034,0.012,0.0,0.002
10,C2_Reflective,500,0.374,0.516,0.058823529411764705,0.0855614973262032,0.12299465240641712,0.084,0.036,0.016,0.006,0.006
10,C3_Experience,500,0.436,0.54,0.11009174311926606,0.14220183486238533,0.12844036697247707,0.124,0.06,0.018,0.004,0.004
10,C4_Guarded_Experience,500,0.414,0.572,0.024154589371980676,0.00966183574879227,0.043478260869565216,0.078,0.01,0.0,0.0,0.0
11,C0_No_Memory,500,0.0,0.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,C1_Storage,500,0.24,0.544,0.05,0.041666666666666664,0.1,0.04,0.034,0.0,0.002,0.0
11,C2_Reflective,500,0.396,0.556,0.050505050505050504,0.06060606060606061,0.08080808080808081,0.09,0.032,0.012,0.002,0.002
11,C3_Experience,500,0.492,0.492,0.08536585365853659,0.14227642276422764,0.15040650406504066,0.106,0.07,0.024,0.004,0.006
11,C4_Guarded_Experience,500,0.452,0.476,0.01327433628318584,0.030973451327433628,0.03982300884955752,0.098,0.02,0.006,0.0,0.0
12,C0_No_Memory,500,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,C1_Storage,500,0.236,0.558,0.025423728813559324,0.03389830508474576,0.1440677966101695,0.036,0.036,0.006,0.0,0.002
12,C2_Reflective,500,0.33,0.568,0.05454545454545454,0.06666666666666667,0.11515151515151516,0.06,0.044,0.012,0.004,0.0
12,C3_Experience,500,0.432,0.506,0.0787037037037037,0.125,0.20833333333333334,0.118,0.058,0.034,0.006,0.008
12,C4_Guarded_Experience,500,0.386,0.566,0.0051813471502590676,0.02072538860103627,0.02072538860103627,0.05,0.01,0.0,0.0,0.002
13,C0_No_Memory,500,0.0,0.578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,C1_Storage,500,0.28,0.558,0.02857142857142857,0.02142857142857143,0.09285714285714286,0.038,0.026,0.006,0.0,0.002
13,C2_Reflective,500,0.41,0.534,0.07804878048780488,0.09268292682926829,0.1073170731707317,0.098,0.038,0.006,0.002,0.0
13,C3_Experience,500,0.462,0.508,0.08658008658008658,0.07792207792207792,0.19047619047619047,0.108,0.066,0.016,0.006,0.002
13,C4_Guarded_Experience,500,0.444,0.568,0.04054054054054054,0.03153153153153153,0.03153153153153153,0.08,0.008,0.004,0.002,0.0
14,C0_No_Memory,500,0.0,0.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,C1_Storage,500,0.262,0.538,0.03816793893129771,0.022900763358778626,0.10687022900763359,0.046,0.028,0.0,0.0,0.0
14,C2_Reflective,500,0.354,0.566,0.062146892655367235,0.04519774011299435,0.12429378531073447,0.074,0.036,0.006,0.002,0.002
14,C3_Experience,500,0.414,0.488,0.05314009661835749,0.0966183574879227,0.14492753623188406,0.112,0.072,0.018,0.006,0.006
14,C4_Guarded_Experience,500,0.426,0.512,0.009389671361502348,0.023474178403755867,0.014084507042253521,0.05,0.018,0.002,0.0,0.0
15,C0_No_Memory,500,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,C1_Storage,500,0.24,0.574,0.025,0.0,0.075,0.02,0.028,0.006,0.0,0.0
15,C2_Reflective,500,0.384,0.548,0.046875,0.09375,0.140625,0.07,0.054,0.01,0.0,0.004
15,C3_Experience,500,0.46,0.536,0.06086956521739131,0.12173913043478261,0.17391304347826086,0.114,0.072,0.03,0.01,0.008
15,C4_Guarded_Experience,500,0.398,0.566,0.02512562814070352,0.010050251256281407,0.03015075376884422,0.058,0.01,0.0,0.002,0.0
16,C0_No_Memory,500,0.0,0.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,C1_Storage,500,0.262,0.578,0.05343511450381679,0.015267175572519083,0.10687022900763359,0.024,0.04,0.0,0.0,0.0
16,C2_Reflective,500,0.37,0.548,0.06486486486486487,0.10270270270270271,0.14594594594594595,0.07,0.066,0.026,0.004,0.004
16,C3_Experience,500,0.452,0.51,0.08849557522123894,0.10176991150442478,0.168141592920354,0.13,0.07,0.024,0.014,0.006
16,C4_Guarded_Experience,500,0.412,0.56,0.024271844660194174,0.03398058252427184,0.038834951456310676,0.054,0.014,0.0,0.0,0.0
17,C0_No_Memory,500,0.0,0.614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,C1_Storage,500,0.284,0.548,0.028169014084507043,0.035211267605633804,0.08450704225352113,0.058,0.036,0.008,0.002,0.002
17,C2_Reflective,500,0.39,0.542,0.1282051282051282,0.06666666666666667,0.20512820512820512,0.044,0.048,0.002,0.0,0.0
17,C3_Experience,500,0.49,0.51,0.10204081632653061,0.10204081632653061,0.15510204081632653,0.13,0.066,0.038,0.006,0.006
17,C4_Guarded_Experience,500,0.446,0.53,0.02242152466367713,0.03587443946188341,0.02242152466367713,0.074,0.014,0.002,0.0,0.0
18,C0_No_Memory,500,0.0,0.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,C1_Storage,500,0.232,0.558,0.017241379310344827,0.008620689655172414,0.1206896551724138,0.046,0.028,0.002,0.0,0.0
18,C2_Reflective,500,0.338,0.564,0.05325443786982249,0.08875739644970414,0.14201183431952663,0.084,0.042,0.018,0.004,0.004
18,C3_Experience,500,0.416,0.52,0.057692307692307696,0.14423076923076922,0.14903846153846154,0.114,0.056,0.028,0.008,0.004
18,C4_Guarded_Experience,500,0.404,0.592,0.01485148514851485,0.009900990099009901,0.034653465346534656,0.056,0.008,0.004,0.0,0.002
19,C0_No_Memory,500,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,C1_Storage,500,0.26,0.554,0.015384615384615385,0.038461538461538464,0.15384615384615385,0.048,0.028,0.0,0.006,0.0
19,C2_Reflective,500,0.378,0.516,0.0582010582010582,0.08465608465608465,0.1164021164021164,0.088,0.044,0.004,0.0,0.0
19,C3_Experience,500,0.45,0.528,0.08,0.08444444444444445,0.12444444444444444,0.128,0.06,0.008,0.008,0.0
19,C4_Guarded_Experience,500,0.398,0.54,0.020100502512562814,0.03015075376884422,0.020100502512562814,0.078,0.01,0.0,0.0,0.0
20,C0_No_Memory,500,0.0,0.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,C1_Storage,500,0.222,0.564,0.06306306306306306,0.036036036036036036,0.07207207207207207,0.038,0.028,0.006,0.002,0.002
20,C2_Reflective,500,0.376,0.536,0.03723404255319149,0.07446808510638298,0.13829787234042554,0.05,0.04,0.02,0.0,0.002
20,C3_Experience,500,0.466,0.484,0.09012875536480687,0.11158798283261803,0.23605150214592274,0.126,0.074,0.014,0.004,0.006
20,C4_Guarded_Experience,500,0.42,0.552,0.009523809523809525,0.0,0.0380952380952381,0.05,0.012,0.0,0.002,0.0
21,C0_No_Memory,500,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,C1_Storage,500,0.272,0.604,0.03676470588235294,0.014705882352941176,0.125,0.03,0.022,0.0,0.0,0.0
21,C2_Reflective,500,0.374,0.56,0.06417112299465241,0.053475935828877004,0.0962566844919786,0.078,0.046,0.0,0.006,0.0
21,C3_Experience,500,0.456,0.52,0.07894736842105263,0.10087719298245613,0.19298245614035087,0.108,0.06,0.03,0.008,0.002
21,C4_Guarded_Experience,500,0.436,0.568,0.03211009174311927,0.01834862385321101,0.022935779816513763,0.082,0.02,0.0,0.0,0.0
22,C0_No_Memory,500,0.0,0.614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,C1_Storage,500,0.26,0.612,0.03076923076923077,0.038461538461538464,0.1076923076923077,0.038,0.038,0.0,0.0,0.0
22,C2_Reflective,500,0.342,0.532,0.07017543859649122,0.07602339181286549,0.12280701754385964,0.062,0.042,0.01,0.004,0.004
22,C3_Experience,500,0.456,0.486,0.07894736842105263,0.11403508771929824,0.15350877192982457,0.09,0.07,0.036,0.002,0.004
22,C4_Guarded_Experience,500,0.406,0.534,0.014778325123152709,0.034482758620689655,0.04926108374384237,0.072,0.01,0.004,0.0,0.0
23,C0_No_Memory,500,0.0,0.622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,C1_Storage,500,0.23,0.594,0.02608695652173913,0.0,0.13043478260869565,0.034,0.028,0.018,0.0,0.002
23,C2_Reflective,500,0.384,0.54,0.07291666666666667,0.0625,0.15625,0.096,0.036,0.024,0.002,0.006
23,C3_Experience,500,0.452,0.514,0.07079646017699115,0.12389380530973451,0.14601769911504425,0.112,0.046,0.03,0.002,0.006
23,C4_Guarded_Experience,500,0.414,0.552,0.024154589371980676,0.028985507246376812,0.03864734299516908,0.068,0.016,0.0,0.0,0.0
24,C0_No_Memory,500,0.0,0.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,C1_Storage,500,0.242,0.584,0.05785123966942149,0.008264462809917356,0.05785123966942149,0.058,0.032,0.002,0.002,0.0
24,C2_Reflective,500,0.378,0.536,0.05291005291005291,0.08994708994708994,0.1111111111111111,0.094,0.04,0.026,0.004,0.004
24,C3_Experience,500,0.454,0.516,0.0881057268722467,0.12334801762114538,0.16740088105726872,0.1,0.068,0.026,0.002,0.002
24,C4_Guarded_Experience,500,0.418,0.554,0.009569377990430622,0.03349282296650718,0.03827751196172249,0.07,0.016,0.0,0.002,0.002
25,C0_No_Memory,500,0.0,0.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,C1_Storage,500,0.252,0.59,0.047619047619047616,0.015873015873015872,0.0873015873015873,0.042,0.022,0.0,0.0,0.0
25,C2_Reflective,500,0.36,0.578,0.06666666666666667,0.06666666666666667,0.10555555555555556,0.062,0.042,0.01,0.0,0.002
25,C3_Experience,500,0.444,0.504,0.0990990990990991,0.12612612612612611,0.10810810810810811,0.13,0.068,0.01,0.014,0.002
25,C4_Guarded_Experience,500,0.41,0.486,0.014634146341463415,0.03414634146341464,0.03414634146341464,0.046,0.02,0.0,0.0,0.0
26,C0_No_Memory,500,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,C1_Storage,500,0.246,0.55,0.032520325203252036,0.032520325203252036,0.08130081300813008,0.042,0.034,0.0,0.002,0.0
26,C2_Reflective,500,0.338,0.526,0.05325443786982249,0.023668639053254437,0.13609467455621302,0.068,0.038,0.006,0.002,0.002
26,C3_Experience,500,0.402,0.512,0.10945273631840796,0.10945273631840796,0.11442786069651742,0.1,0.046,0.022,0.01,0.004
26,C4_Guarded_Experience,500,0.408,0.568,0.014705882352941176,0.014705882352941176,0.049019607843137254,0.048,0.004,0.0,0.0,0.0
27,C0_No_Memory,500,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,C1_Storage,500,0.268,0.586,0.05223880597014925,0.022388059701492536,0.12686567164179105,0.04,0.034,0.002,0.0,0.0
27,C2_Reflective,500,0.374,0.528,0.10160427807486631,0.08021390374331551,0.11764705882352941,0.062,0.05,0.012,0.0,0.002
27,C3_Experience,500,0.438,0.534,0.0593607305936073,0.1187214611872146,0.1324200913242009,0.084,0.062,0.012,0.0,0.0
27,C4_Guarded_Experience,500,0.392,0.626,0.030612244897959183,0.02040816326530612,0.02040816326530612,0.042,0.012,0.004,0.0,0.002
28,C0_No_Memory,500,0.0,0.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,C1_Storage,500,0.264,0.598,0.030303030303030304,0.030303030303030304,0.08333333333333333,0.036,0.03,0.01,0.002,0.002
28,C2_Reflective,500,0.366,0.562,0.11475409836065574,0.0546448087431694,0.18032786885245902,0.096,0.042,0.018,0.002,0.006
28,C3_Experience,500,0.464,0.508,0.06465517241379311,0.15517241379310345,0.16810344827586207,0.124,0.06,0.04,0.002,0.008
28,C4_Guarded_Experience,500,0.424,0.538,0.02358490566037736,0.02830188679245283,0.02358490566037736,0.082,0.018,0.006,0.002,0.0
29,C0_No_Memory,500,0.0,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,C1_Storage,500,0.244,0.58,0.040983606557377046,0.02459016393442623,0.13934426229508196,0.036,0.032,0.008,0.0,0.002
29,C2_Reflective,500,0.348,0.554,0.05172413793103448,0.08620689655172414,0.09195402298850575,0.08,0.042,0.0,0.002,0.0
29,C3_Experience,500,0.44,0.542,0.09090909090909091,0.11363636363636363,0.15454545454545454,0.122,0.076,0.024,0.014,0.004
29,C4_Guarded_Experience,500,0.408,0.508,0.03431372549019608,0.014705882352941176,0.04411764705882353,0.05,0.018,0.0,0.0,0.0
30,C0_No_Memory,500,0.0,0.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,C1_Storage,500,0.224,0.53,0.03571428571428571,0.044642857142857144,0.07142857142857142,0.04,0.028,0.004,0.002,0.002
30,C2_Reflective,500,0.338,0.534,0.04142011834319527,0.0650887573964497,0.14792899408284024,0.09,0.034,0.006,0.006,0.0
30,C3_Experience,500,0.452,0.524,0.084070796460177,0.10176991150442478,0.11946902654867257,0.09,0.046,0.034,0.008,0.002
30,C4_Guarded_Experience,500,0.402,0.526,0.029850746268656716,0.04477611940298507,0.04477611940298507,0.076,0.012,0.0,0.0,0.0
